num_processes,avg_arrival_gap,avg_burst,burst_variance,min_burst,max_burst,avg_priority,priority_variance,avg_memory,cpu_load_estimate,regime,fcfs_avg_waiting,fcfs_avg_turnaround,sjf_avg_waiting,sjf_avg_turnaround,srtf_avg_waiting,srtf_avg_turnaround,rr_avg_waiting,rr_avg_turnaround,priority_avg_waiting,priority_avg_turnaround,best_algorithm_by_waiting,best_algorithm_by_turnaround,best_algorithm
32,0.258,6.375,161.797,1,56,2.125,0.984,590.312,3.188,interactive_short,147.25,153.625,58.531,64.906,28.969,35.344,50.469,56.844,70.219,76.594,RR,RR,RR
40,1.026,18.7,149.91,1,40,3.65,2.478,470.2,5.0,priority_anticorrelated,361.7,380.4,205.7,224.4,205.5,224.2,424.875,443.575,479.825,498.525,SJF,SJF,SJF
47,0.935,20.532,140.036,1,39,3.489,2.42,524.277,5.0,priority_anticorrelated,481.191,501.723,292.936,313.468,292.766,313.298,591.021,611.553,604.702,625.234,SJF,SJF,SJF
48,1,21.104,99.385,1,39,3.5,1.667,578.583,5.0,priority_correlated,483.396,504.5,337.688,358.792,336.542,357.646,679.312,700.417,343.625,364.729,SJF,SJF,Priority
49,1.021,22.571,66.367,10,40,3.224,1.766,513.224,5.0,uniform_heavy,494.204,516.776,404.041,426.612,404.041,426.612,795.837,818.408,514.469,537.041,SJF,SJF,SJF
6,0.4,9,0.333,8,10,2.167,0.806,491.833,4.5,near_simultaneous_uniform,21.667,30.667,21.167,30.167,21.167,30.167,39.833,48.833,21.667,30.667,SJF,SJF,SJF
35,0.971,17.429,107.559,1,40,3.086,1.907,542.771,5.0,priority_correlated,304.343,321.771,180.314,197.743,179.229,196.657,362.257,379.686,183.6,201.029,SJF,SJF,SJF
24,0.304,7.667,171.806,1,55,2.292,1.123,476.25,2.968,interactive_short,129.042,136.708,30.458,38.125,30.458,38.125,50.958,58.625,48.0,55.667,SJF,SJF,SJF
47,2.043,26.106,165.797,1,48,4.83,4.992,586.681,5.0,bursty_mixed,555.191,581.298,386.17,412.277,386.149,412.255,788.085,814.191,551.191,577.298,SJF,SJF,SJF
6,0.8,32.167,73.139,23,46,3.5,1.917,513.333,3.86,batch_long,89.167,121.333,73.5,105.667,66.167,98.333,129.167,161.333,80.333,112.5,SJF,SJF,SJF
9,0.25,12.889,2.099,11,15,2.444,1.58,467.556,5.0,near_simultaneous_uniform,49.778,62.667,47.0,59.889,47.0,59.889,86.556,99.444,51.889,64.778,SJF,SJF,SJF
49,1.021,25.327,83.2,10,40,3,1.714,523.204,5.0,uniform_heavy,601.082,626.408,465.367,490.694,458.857,484.184,928.796,954.122,608.224,633.551,SJF,SJF,SJF
12,0.182,4.917,2.243,3,7,3.083,2.41,600.917,5.0,near_simultaneous_uniform,25.0,29.917,21.167,26.083,21.167,26.083,33.833,38.75,24.5,29.417,SJF,SJF,SJF
7,0.167,5.143,1.265,3,7,3.286,2.204,540.571,4.5,near_simultaneous_uniform,13.857,19.0,13.0,18.143,13.0,18.143,23.0,28.143,15.429,20.571,SJF,SJF,SJF
42,3.976,15.619,74.474,1,30,2.905,1.658,655.738,3.399,high_arrival_spread,250.286,265.905,154.238,169.857,151.095,166.714,323.405,339.024,231.81,247.429,SJF,SJF,SJF
5,1.25,15,71.6,3,25,2.6,1.04,474.2,2.5,priority_correlated,28.2,43.2,25.6,40.6,17.2,32.2,32.4,47.4,25.6,40.6,SJF,SJF,SJF
17,4.25,13.765,96.062,2,28,3.235,2.062,445.294,2.438,high_arrival_spread,74.765,88.529,46.941,60.706,42.0,55.765,89.706,103.471,82.118,95.882,SJF,SJF,SJF
9,0.375,36.333,74.444,22,50,2.889,2.543,682,5.0,batch_long,138.444,174.778,124.889,161.222,122.222,158.556,241.667,278.0,159.778,196.111,SJF,SJF,SJF
13,1,20.923,63.302,13,38,3.385,1.314,417.077,5.0,uniform_heavy,121.0,141.923,93.615,114.538,93.385,114.308,186.769,207.692,137.0,157.923,SJF,SJF,SJF
27,0.308,6.63,128.826,1,42,2.148,1.385,622.778,3.58,interactive_short,118.259,124.889,62.963,69.593,29.519,36.148,47.407,54.037,69.037,75.667,RR,RR,RR
23,0.364,8.217,215.388,1,50,2.565,0.507,542.435,3.259,interactive_short,140.696,148.913,54.478,62.696,25.478,33.696,46.087,54.304,112.87,121.087,RR,RR,RR
12,1.818,4.25,8.521,1,10,2.833,1.639,328.417,1.7,uniform_light,11.417,15.667,6.5,10.75,5.833,10.083,10.583,14.833,10.75,15.0,SJF,SJF,SJF
18,2.118,5.222,8.062,1,10,2.389,1.571,550.833,2.043,uniform_light,31.833,37.056,18.944,24.167,18.778,24.0,40.222,45.444,31.667,36.889,SJF,SJF,SJF
45,0.182,5.467,132.782,1,50,2.356,0.94,556.133,4.241,interactive_short,178.267,183.733,83.756,89.222,40.178,45.644,66.822,72.289,98.489,103.956,RR,RR,RR
42,0.195,6.048,146.522,1,58,1.976,0.69,545.024,3.848,interactive_short,181.333,187.381,95.69,101.738,44.881,50.929,68.857,74.905,130.929,136.976,RR,RR,RR
13,0.583,14.538,543.172,1,60,2.308,0.828,564.462,2.821,interactive_short,148.231,162.769,19.462,34.0,19.154,33.692,43.923,58.462,73.0,87.538,SJF,SJF,SJF
6,1,22.667,35.889,16,33,3.667,0.556,330.667,3.579,priority_correlated,49.167,71.833,45.333,68.0,45.167,67.833,86.833,109.5,45.333,68.0,SJF,SJF,SJF
14,0.385,33.571,95.673,20,50,3.5,1.679,544.143,5.0,batch_long,233.5,267.071,182.786,216.357,179.0,212.571,357.357,390.929,204.714,238.286,SJF,SJF,SJF
32,0.258,5.719,113.702,1,43,2.312,1.277,470.469,3.588,interactive_short,132.75,138.469,62.344,68.062,28.188,33.906,51.25,56.969,70.312,76.031,RR,RR,RR
29,2,27.793,163.888,1,46,4.31,5.8,639.379,5.0,bursty_mixed,396.655,424.448,260.034,287.828,259.552,287.345,543.0,570.793,379.897,407.69,SJF,SJF,SJF
38,1.027,19.816,115.466,2,39,3.553,1.984,604.684,5.0,priority_anticorrelated,355.895,375.711,248.447,268.263,233.474,253.289,476.605,496.421,459.132,478.947,SJF,SJF,SJF
19,1.056,17.632,101.917,2,40,3.053,1.734,487.263,5.0,priority_correlated,151.368,169.0,98.737,116.368,97.316,114.947,191.789,209.421,100.421,118.053,SJF,SJF,SJF
7,1.167,18.286,365.347,2,51,2.857,2.408,601.571,2.207,interactive_short,81.857,100.143,33.857,52.143,19.0,37.286,39.286,57.571,39.714,58.0,SJF,SJF,RR
49,2.042,5.061,7.69,1,10,3.061,2.425,555.041,2.296,uniform_light,72.653,77.714,44.224,49.286,43.653,48.714,89.673,94.735,69.857,74.918,SJF,SJF,SJF
39,1.026,17.41,117.575,1,39,3.897,1.938,539.949,5.0,priority_anticorrelated,312.128,329.538,195.128,212.538,193.769,211.179,386.359,403.769,416.282,433.692,SJF,SJF,SJF
36,1.029,22.306,109.101,2,40,3.667,1.889,462.333,5.0,priority_correlated,337.944,360.25,279.056,301.361,270.639,292.944,531.528,553.833,283.556,305.861,SJF,SJF,SJF
6,0.4,11.167,2.139,10,14,3.333,3.222,483.167,4.188,near_simultaneous_uniform,27.667,38.833,24.833,36.0,24.833,36.0,48.167,59.333,27.167,38.333,SJF,SJF,SJF
32,1.032,22.188,133.59,1,37,3.656,2.038,571.438,5.0,priority_correlated,324.406,346.594,235.312,257.5,225.875,248.062,453.031,475.219,238.406,260.594,SJF,SJF,SJF
13,0.5,11.615,287.467,1,55,2.769,1.408,396.769,2.475,interactive_short,105.231,116.846,19.385,31.0,19.385,31.0,37.923,49.538,30.769,42.385,SJF,SJF,SJF
31,2,5.194,9.898,1,10,3.097,2.281,543.065,2.3,uniform_light,42.677,47.871,28.355,33.548,27.452,32.645,54.903,60.097,42.613,47.806,SJF,SJF,SJF
22,0.381,6.273,165.926,1,52,2.273,0.926,624.409,2.3,interactive_short,102.091,108.364,61.136,67.409,16.682,22.955,31.864,38.136,66.955,73.227,RR,RR,RR
37,1.944,27,156.108,2,49,5.027,5.702,577.892,5.0,bursty_mixed,499.027,526.027,324.081,351.081,323.216,350.216,682.622,709.622,461.162,488.162,SJF,SJF,SJF
20,0.105,16,2.4,14,18,2.65,1.827,496.1,5.0,near_simultaneous_uniform,153.1,169.1,142.35,158.35,142.35,158.35,276.4,292.4,154.45,170.45,SJF,SJF,SJF
18,0.471,10.611,349.904,1,59,2.333,1.556,503.833,2.851,interactive_short,141.278,151.889,54.611,65.222,20.722,31.333,41.0,51.611,57.5,68.111,RR,RR,RR
19,0.111,14.053,1.313,12,16,3.158,2.028,527.368,5.0,near_simultaneous_uniform,128.0,142.053,119.579,133.632,119.579,133.632,231.474,245.526,126.211,140.263,SJF,SJF,SJF
17,0.812,21.588,56.713,11,36,2.706,1.384,548.235,5.0,uniform_heavy,173.647,195.235,136.353,157.941,131.824,153.412,262.176,283.765,168.294,189.882,SJF,SJF,SJF
5,0.5,20.2,2.56,18,22,4.4,0.64,564.2,4.208,near_simultaneous_uniform,40.8,61.0,37.8,58.0,37.8,58.0,74.6,94.8,39.6,59.8,SJF,SJF,SJF
42,1.927,5.357,9.991,1,10,3.238,2.134,493.071,2.528,uniform_light,67.238,72.595,42.571,47.929,42.119,47.476,86.024,91.381,78.476,83.833,SJF,SJF,SJF
18,0.471,8,160.667,1,41,2.111,1.432,511.5,2.939,interactive_short,106.611,114.611,41.056,49.056,19.944,27.944,39.444,47.444,44.778,52.778,RR,RR,RR
46,2.022,25.63,240.929,1,50,4.652,6.401,533.283,5.0,bursty_mixed,539.674,565.304,355.37,381.0,341.457,367.087,701.696,727.326,535.63,561.261,SJF,SJF,SJF
41,0.975,19.756,127.16,1,40,3.415,1.95,526.659,5.0,priority_correlated,372.951,392.707,251.756,271.512,245.683,265.439,493.22,512.976,257.195,276.951,SJF,SJF,SJF
40,0.205,4.8,78.71,1,47,1.95,0.698,509.4,3.491,interactive_short,130.375,135.175,82.525,87.325,41.95,46.75,65.15,69.95,91.275,96.075,RR,RR,RR
7,0.333,12.286,3.061,10,14,2.571,0.531,530.857,5.0,near_simultaneous_uniform,36.286,48.571,32.714,45.0,32.714,45.0,64.429,76.714,36.429,48.714,SJF,SJF,SJF
23,1.045,15.87,121.418,2,40,4.087,2.079,586.261,5.0,priority_anticorrelated,128.174,144.043,94.087,109.957,93.391,109.261,177.696,193.565,220.348,236.217,SJF,SJF,SJF
45,0.977,17.622,143.213,1,40,3.867,2.56,557.533,5.0,priority_anticorrelated,361.844,379.467,228.556,246.178,217.267,234.889,436.844,454.467,518.622,536.244,SJF,SJF,SJF
23,1.045,24.522,97.728,8,40,3.087,1.384,522.087,5.0,priority_anticorrelated,252.435,276.957,194.565,219.087,194.565,219.087,386.826,411.348,322.043,346.565,SJF,SJF,SJF
32,1.935,6.594,9.116,1,10,2.781,2.171,496.531,3.014,uniform_light,76.062,82.656,52.75,59.344,52.5,59.094,104.375,110.969,72.906,79.5,SJF,SJF,SJF
31,2.067,5.194,7.834,1,10,3.452,1.602,502.742,2.236,uniform_light,55.742,60.935,32.226,37.419,31.71,36.903,64.968,70.161,45.323,50.516,SJF,SJF,SJF
49,3.854,16.878,81.209,1,30,3.02,1.898,527.184,3.847,high_arrival_spread,339.592,356.469,210.531,227.408,209.98,226.857,454.204,471.082,286.694,303.571,SJF,SJF,SJF
7,0.667,39,77.714,22,49,3.571,0.816,399.857,5.0,batch_long,110.857,149.857,99.0,138.0,98.143,137.143,195.857,234.857,105.286,144.286,SJF,SJF,SJF
19,0.111,18.947,1.945,17,21,2.579,2.139,678.421,5.0,near_simultaneous_uniform,169.053,188.0,162.105,181.053,162.105,181.053,314.211,333.158,170.947,189.895,SJF,SJF,SJF
44,1.023,20.364,127.231,1,40,3.545,2.157,505.432,5.0,priority_correlated,423.159,443.523,287.068,307.432,277.023,297.386,570.591,590.955,291.568,311.932,SJF,SJF,SJF
43,2.024,4.767,8.504,1,10,2.581,1.685,571.674,2.158,uniform_light,50.302,55.07,29.163,33.93,28.953,33.721,58.349,63.116,58.093,62.86,SJF,SJF,SJF
37,0.972,19.622,134.668,2,39,3.324,2.165,480.297,5.0,priority_correlated,323.027,342.649,216.027,235.649,214.73,234.351,423.108,442.73,220.108,239.73,SJF,SJF,SJF
8,0.286,15.5,1.75,13,17,2.75,1.688,611.25,5.0,near_simultaneous_uniform,51.625,67.125,50.75,66.25,50.75,66.25,94.125,109.625,52.0,67.5,SJF,SJF,SJF
32,1,21.375,113.234,1,40,3.406,1.929,542.75,5.0,priority_anticorrelated,312.125,333.5,224.969,246.344,220.125,241.5,445.281,466.656,405.938,427.312,SJF,SJF,SJF
29,1.036,20.724,135.717,1,40,3.517,2.25,600.345,5.0,priority_correlated,300.0,320.724,189.552,210.276,183.931,204.655,371.897,392.621,193.552,214.276,SJF,SJF,Priority
11,0.2,12,2.545,10,14,3.091,1.719,427.091,5.0,near_simultaneous_uniform,57.455,69.455,54.455,66.455,54.455,66.455,99.727,111.727,57.909,69.909,SJF,SJF,SJF
14,0.154,13,1.857,11,15,2.786,1.597,553.5,5.0,near_simultaneous_uniform,81.357,94.357,78.214,91.214,78.214,91.214,140.286,153.286,83.571,96.571,SJF,SJF,SJF
27,1,24.63,96.529,10,39,3.148,1.756,504.852,5.0,uniform_heavy,304.481,329.111,239.148,263.778,233.407,258.037,470.37,495.0,305.222,329.852,SJF,SJF,SJF
39,1.026,18.923,148.635,1,40,3.256,2.447,508.769,5.0,priority_correlated,342.923,361.846,205.821,224.744,205.59,224.513,422.744,441.667,209.282,228.205,SJF,SJF,Priority
34,0.242,6,134.059,1,45,2.029,1.205,501.176,3.849,interactive_short,149.706,155.706,67.971,73.971,31.647,37.647,56.265,62.265,88.235,94.235,RR,RR,RR
36,1,23.528,87.916,10,40,2.806,1.712,598.361,5.0,uniform_heavy,399.528,423.056,297.306,320.833,297.306,320.833,591.611,615.139,401.0,424.528,SJF,SJF,SJF
34,0.242,4.235,47.827,1,32,2.235,0.827,521.059,3.6,interactive_short,92.441,96.676,55.265,59.5,29.412,33.647,48.265,52.5,77.529,81.765,RR,RR,RR
7,2.833,21.714,19.061,16,28,3,0.857,607.571,3.378,high_arrival_spread,53.143,74.857,48.429,70.143,48.429,70.143,92.143,113.857,53.286,75.0,SJF,SJF,SJF
44,1.977,28.568,265.791,1,50,4.386,5.101,519.886,5.0,bursty_mixed,550.068,578.636,376.773,405.341,373.795,402.364,752.091,780.659,541.773,570.341,SJF,SJF,SJF
6,4.8,20.167,67.806,4,27,3.5,2.25,483.5,2.373,high_arrival_spread,36.0,56.167,31.5,51.667,28.167,48.333,54.333,74.5,32.667,52.833,SJF,SJF,Priority
17,1.062,27.588,112.242,10,40,3.529,2.014,681.941,5.0,uniform_heavy,221.0,248.588,170.471,198.059,165.647,193.235,334.0,361.588,205.941,233.529,SJF,SJF,SJF
17,0.938,18.471,125.073,1,34,3.765,2.062,492.824,5.0,priority_anticorrelated,143.412,161.882,87.294,105.765,86.824,105.294,178.941,197.412,192.118,210.588,SJF,SJF,SJF
43,2.024,5.698,9.699,1,10,2.814,1.733,579.721,2.579,uniform_light,84.791,90.488,48.744,54.442,48.442,54.14,103.256,108.953,71.14,76.837,SJF,SJF,SJF
10,2,19.1,175.69,3,41,4.9,5.29,643.7,3.237,bursty_mixed,79.8,98.9,43.0,62.1,42.3,61.4,84.7,103.8,59.0,78.1,SJF,SJF,SJF
16,1.733,6.562,5.371,2,10,2.938,1.684,754.312,2.917,uniform_light,33.188,39.75,27.625,34.188,27.625,34.188,44.688,51.25,33.188,39.75,SJF,SJF,SJF
41,1.025,22.293,161.231,1,39,3.317,2.46,559.439,5.0,priority_anticorrelated,444.634,466.927,282.463,304.756,280.341,302.634,567.537,589.829,561.39,583.683,SJF,SJF,SJF
16,0.133,7.938,1.934,6,10,2.938,2.184,536,5.0,near_simultaneous_uniform,60.562,68.5,52.5,60.438,52.5,60.438,97.812,105.75,58.438,66.375,SJF,SJF,SJF
12,0.636,12.583,347.91,1,57,2.583,0.743,522.667,2.359,interactive_short,104.583,117.167,38.417,51.0,16.75,29.333,36.333,48.917,50.75,63.333,RR,RR,RR
37,3.972,16.351,46.282,2,29,2.865,2.279,564.189,3.517,high_arrival_spread,219.757,236.108,160.649,177.0,160.432,176.784,326.568,342.919,209.216,225.568,SJF,SJF,SJF
48,0.979,17.458,138.415,1,39,3.167,2.514,519.854,5.0,priority_correlated,395.667,413.125,231.938,249.396,231.521,248.979,471.708,489.167,236.792,254.25,SJF,SJF,Priority
28,2.037,23.679,267.29,1,50,3.714,4.776,559.179,5.0,bursty_mixed,302.214,325.893,169.857,193.536,169.5,193.179,342.286,365.964,286.643,310.321,SJF,SJF,SJF
7,1,17.857,117.265,1,32,3,2,478.286,3.289,priority_correlated,64.429,82.286,37.0,54.857,31.857,49.714,64.429,82.286,37.286,55.143,SJF,SJF,SJF
17,0.938,25.529,93.543,6,40,2.941,1.349,538.706,5.0,priority_anticorrelated,209.647,235.176,160.529,186.059,152.941,178.471,308.471,334.0,242.706,268.235,SJF,SJF,SJF
34,0.97,28.559,71.658,14,40,2.853,2.008,565.735,5.0,uniform_heavy,431.294,459.853,374.882,403.441,374.853,403.412,733.265,761.824,425.088,453.647,SJF,SJF,FCFS
17,0.5,11.059,344.173,1,59,2.235,1.003,554.412,2.806,interactive_short,144.647,155.706,58.529,69.588,22.235,33.294,44.529,55.588,69.941,81.0,RR,RR,RR
44,0.907,25.523,67.522,10,40,3.091,2.037,547.114,5.0,uniform_heavy,523.886,549.409,432.409,457.932,427.045,452.568,844.705,870.227,541.909,567.432,SJF,SJF,SJF
11,0.2,6.818,2.331,5,9,2.636,1.868,608.182,5.0,near_simultaneous_uniform,32.455,39.273,28.182,35.0,28.182,35.0,54.182,61.0,29.909,36.727,SJF,SJF,SJF
12,0.182,17.5,2.583,15,19,2.417,0.576,460,5.0,near_simultaneous_uniform,94.5,112.0,90.583,108.083,90.583,108.083,172.5,190.0,95.167,112.667,SJF,SJF,SJF
8,0.286,5.5,2,3,7,3.5,1.75,599.5,4.889,near_simultaneous_uniform,16.75,22.25,15.375,20.875,15.375,20.875,24.5,30.0,18.125,23.625,SJF,SJF,SJF
35,4.088,12.371,55.033,2,28,3.229,1.662,504.657,2.593,high_arrival_spread,131.857,144.229,86.571,98.943,80.286,92.657,172.571,184.943,137.543,149.914,SJF,SJF,SJF
42,1.951,27.143,154.122,5,48,4.619,4.379,502.643,5.0,bursty_mixed,545.81,572.952,371.048,398.19,370.5,397.643,768.5,795.643,508.857,536.0,SJF,SJF,SJF
10,1.111,23.2,93.16,12,39,3.6,2.04,597.3,4.735,uniform_heavy,97.7,120.9,81.8,105.0,74.0,97.2,142.8,166.0,102.0,125.2,SJF,SJF,SJF
34,0.97,20.088,104.786,1,40,3.471,1.896,542.235,5.0,priority_correlated,315.912,336.0,216.853,236.941,216.529,236.618,432.294,452.382,219.294,239.382,SJF,SJF,SJF
12,0.182,17.917,2.076,16,20,3.667,1.722,517.333,5.0,near_simultaneous_uniform,97.583,115.5,92.583,110.5,92.583,110.5,178.333,196.25,99.0,116.917,SJF,SJF,SJF
15,0.143,20.333,1.822,18,22,3.2,1.493,634.4,5.0,near_simultaneous_uniform,141.267,161.6,136.0,156.333,136.0,156.333,264.6,284.933,142.267,162.6,SJF,SJF,SJF
47,0.152,4.66,105.118,1,54,2.404,0.751,466,3.59,interactive_short,149.915,154.574,41.319,45.979,41.319,45.979,64.043,68.702,57.277,61.936,SJF,SJF,SJF
22,2,5.227,8.812,1,10,2.773,1.994,564.5,2.212,uniform_light,33.318,38.545,20.455,25.682,20.0,25.227,38.682,43.909,34.545,39.773,SJF,SJF,SJF
11,2,27.909,156.992,6,43,4.818,4.512,574.091,4.873,bursty_mixed,144.182,172.091,102.273,130.182,94.818,122.727,192.455,220.364,137.909,165.818,SJF,SJF,SJF
8,0.286,8.625,1.234,7,10,3,2.75,547.75,5.0,near_simultaneous_uniform,30.5,39.125,27.5,36.125,27.5,36.125,48.25,56.875,30.0,38.625,SJF,SJF,SJF
14,0.154,5.286,2.061,3,7,3.357,2.087,518.286,5.0,near_simultaneous_uniform,33.286,38.571,28.0,33.286,27.786,33.071,48.214,53.5,34.286,39.571,SJF,SJF,SJF
15,2,25.133,107.849,9,45,4.6,5.44,470.867,5.0,bursty_mixed,167.6,192.733,123.333,148.467,121.333,146.467,246.133,271.267,168.533,193.667,SJF,SJF,SJF
16,4.2,19.125,58.234,1,30,2.438,2.121,607.938,3.29,high_arrival_spread,96.25,115.375,82.688,101.812,81.438,100.562,159.75,178.875,105.25,124.375,SJF,SJF,FCFS
18,0.118,8.444,1.691,6,10,3.056,1.941,450.556,5.0,near_simultaneous_uniform,70.167,78.611,64.333,72.778,64.333,72.778,114.722,123.167,70.333,78.778,SJF,SJF,SJF
17,0.5,8.294,154.678,1,37,2.529,1.073,532.294,3.133,interactive_short,100.471,108.765,45.529,53.824,20.0,28.294,37.706,46.0,47.706,56.0,RR,RR,RR
42,0.976,24.571,92.483,10,40,2.881,1.629,455.976,5.0,uniform_heavy,485.119,509.69,370.095,394.667,367.262,391.833,737.571,762.143,472.976,497.548,SJF,SJF,SJF
43,0.19,5.628,141.257,1,53,2.209,0.817,558.837,3.967,interactive_short,183.488,189.116,75.581,81.209,38.163,43.791,70.047,75.674,93.558,99.186,RR,RR,RR
10,2.111,3.6,4.44,1,7,2.7,1.41,512,1.385,uniform_light,8.1,11.7,5.1,8.7,4.8,8.4,8.6,12.2,10.1,13.7,SJF,SJF,SJF
5,0.25,9.4,1.44,8,11,3,2,247.4,3.917,near_simultaneous_uniform,16.8,26.2,16.8,26.2,16.8,26.2,27.2,36.6,18.2,27.6,FCFS,FCFS,FCFS
14,0.154,9.786,1.883,8,12,3.429,2.673,517,5.0,near_simultaneous_uniform,61.286,71.071,57.5,67.286,57.5,67.286,106.286,116.071,63.643,73.429,SJF,SJF,SJF
41,0.2,5.683,125.631,1,50,2.366,0.72,603.098,4.017,interactive_short,162.927,168.61,81.78,87.463,40.366,46.049,62.171,67.854,104.171,109.854,RR,RR,RR
44,1.953,5.636,8.14,1,10,3.136,1.936,558.068,2.638,uniform_light,91.023,96.659,56.955,62.591,56.636,62.273,121.591,127.227,98.341,103.977,SJF,SJF,SJF
17,0.125,15.706,1.737,14,18,3.471,1.308,616.294,5.0,near_simultaneous_uniform,123.941,139.647,118.412,134.118,118.412,134.118,224.235,239.941,122.588,138.294,SJF,SJF,SJF
38,0.216,5.368,77.338,1,40,2.132,1.22,582.868,4.25,interactive_short,140.789,146.158,70.132,75.5,42.632,48.0,66.789,72.158,83.816,89.184,RR,RR,RR
22,0.333,8,184.818,1,50,2.5,1.341,526,3.088,interactive_short,128.318,136.318,25.091,33.091,25.091,33.091,44.727,52.727,30.955,38.955,SJF,SJF,SJF
37,1.028,18.838,138.352,3,39,3.297,2.263,603.351,5.0,priority_correlated,313.378,332.216,198.838,217.676,198.838,217.676,398.351,417.189,202.432,221.27,SJF,SJF,SJF
31,0.967,21.613,179.334,1,40,3.29,3.045,555.516,5.0,priority_anticorrelated,308.645,330.258,196.548,218.161,196.226,217.839,392.613,414.226,427.645,449.258,SJF,SJF,SJF
35,0.206,5.486,132.136,1,58,2.2,0.96,604.086,2.954,interactive_short,133.314,138.8,33.943,39.429,33.943,39.429,54.143,59.629,45.571,51.057,SJF,SJF,SJF
17,0.5,6.882,176.339,1,53,2.647,1.17,607.353,1.918,interactive_short,85.471,92.353,36.176,43.059,13.647,20.529,25.706,32.588,59.647,66.529,RR,RR,RR
15,0.357,34.067,59.529,22,46,3,1.467,486.6,5.0,batch_long,242.467,276.533,203.667,237.733,203.533,237.6,406.133,440.2,231.933,266.0,SJF,SJF,SJF
38,0.216,6.263,134.404,1,54,1.947,0.945,603.526,3.839,interactive_short,168.368,174.632,73.868,80.132,45.316,51.579,69.105,75.368,106.132,112.395,RR,RR,RR
31,1.833,4.645,7.648,1,10,3.484,1.798,564.806,2.215,uniform_light,32.677,37.323,21.935,26.581,20.806,25.452,39.194,43.839,39.677,44.323,SJF,SJF,SJF
33,1.938,22.212,223.137,1,50,4.576,4.85,583.788,5.0,bursty_mixed,317.879,340.091,202.636,224.848,188.121,210.333,392.364,414.576,362.545,384.758,SJF,SJF,SJF
49,1.854,5.816,8.803,1,10,2.755,1.858,578.939,2.879,uniform_light,95.327,101.143,60.245,66.061,59.857,65.673,122.0,127.816,96.633,102.449,SJF,SJF,SJF
11,3.5,12.636,74.777,1,25,3.091,1.901,639.636,2.317,high_arrival_spread,53.818,66.455,25.909,38.545,25.455,38.091,56.636,69.273,39.0,51.636,SJF,SJF,SJF
7,1.333,20.143,428.98,2,51,3.143,0.98,504.286,2.39,interactive_short,94.143,114.286,47.571,67.714,22.0,42.143,44.0,64.143,50.714,70.857,RR,RR,RR
48,0.17,4.812,76.152,1,41,2.104,0.802,532.396,4.714,interactive_short,160.438,165.25,82.062,86.875,48.938,53.75,76.083,80.896,93.188,98.0,RR,RR,RR
5,0.5,11,1.2,10,13,3.2,0.96,385.8,3.667,near_simultaneous_uniform,22.0,33.0,20.4,31.4,20.4,31.4,38.4,49.4,22.4,33.4,SJF,SJF,SJF
34,1.03,21.382,146.413,3,40,3.382,2.471,567.794,5.0,priority_anticorrelated,341.441,362.824,228.059,249.441,222.059,243.441,443.912,465.294,447.382,468.765,SJF,SJF,SJF
